annotator,course,lecture,prompt,reflections,abstractive summary,extractive summary,concepts
Aasri,ENGR 131-002,3,Describe what you found most confusing in today’s class,"Nothing was confusing in class today. I understood the slides and what was to be completed for out ICA.
Nothing
The assignment due next week
Everything was clear
i think everything was clearly explained.
i was a little lost about the shortcut keys in excel.
Nothing was really confusing or needed more details.
Assignment deadlines
nothing, it was really good
nothing
Something that was a little confusing was how putting the dollar signs in different places can mean different things.
N/A
Overall I thought todays class went well.
I felt everything was presented clearly enough in todays class and did not need further explanation.
Choosing between mode and mean
mode
What the purpose of the survey was.
The topics today were explained nicely and I did not find anything very confusing.
I am confused on what the A03 assignment really entails.
Everything was good. More clarity for AO3
Just figuring out when to apply sig figs.
I wasn't able to understand the question asked related to people and mean, median, and mode. I don't know if it is asking us the preference of being a mean, median, mode, or else.
The ICA was a little confusing but was easier to understand with more explanation from the staff and peers.
Nothing, understood every part of lecture
More explanation on whet variance means exactly
The most confusing part was to adjust our data with the correct decimal places.
The significant figures were a little confusing during the in class activities.
Nothing as of now
Maybe could have elaborated more on variance
Most of the concepts were in the preclass videos so the content was not confusing.
Today's lecture was pretty straightforward, I did not feel as thought I was confused on the material and did not have any questions that needed answering
There was nothing that was confusing at all today.
Nothing","In this lecture students were confused with mean, median, and mode. Students were also confused on the details of assignment 3. Students also were confused by what variance was. Students found significant figures confusing and how many decimal places too include. Students also found the in class activity confusing.","I am confused on what the A03 assignment really entails. Everything was good. More clarity for AO3 I wasn't able to understand the question asked related to people and mean, median, and mode. I don't know if it is asking us the preference of being a mean, median, mode, or else. More explanation on whet variance means exactly The significant figures were a little confusing during the in class activities.","['mode', 'mode and mean', 'variance', 'significant figures', 'ICA', 'sig figs', 'AO3', 'assignment', 'A03', 'mean, median, and mode']"
Aasri,ENGR 131-002,10,Describe what you found most interesting in today’s class,"Assignment 06
I liked how I was able to complete most of assignment 6
Criteria and constraint differences
Long studio time
none
Working on studio time
Working with my teammates.
I found delegating they team tasks interesting
Having a lot of studio time to work.
Working on the bike share project with my team.
I thought the new project we were working on was interesting to discuss with my team
The creation of the histogram and working as a team.
Nothing was particularly interesting, but the work time was helpful.
I found the delegation of team roles for assignment 7 interesting.
I enjoyed having time to work on my assignments
In Class Activity
we started working on the bike project and the idea seemed pretty interesting
pivot table
We had time for studio time and I could get help from my teammates!
nothing much
Working with my team
It was nice to have studio time to work together as a group
Nothing",In this lecture students found it interesting to have studio time to work together as a group. Students also found it interesting to work on the in class activity. Students were also interested in pivot tables and creating histograms. They also were interested in completing their assignments and working on the bike project.,I liked how I was able to complete most of assignment 6 I found delegating they team tasks interesting I thought the new project we were working on was interesting to discuss with my team I found the delegation of team roles for assignment 7 interesting. we started working on the bike project and the idea seemed pretty interesting,"['Assignment 06', 'assignment 7', 'project', 'In Class Activity', 'studio time', 'assignment 6']"
Aasri,ENGR 131-002,9,Describe what you found most confusing in today’s class,"Nothing
Classroom/Assignment pace.
More details on z-score
adjusting bin width and bin number
How you found the what the bin width should be in a histogram
Z-score
Z point
Histogram bins
Making a histogram
I felt everything was explained clearly in todays class.
I had an issue with my Mac on excel that was confusing
Excel histogram
nothing
nothing was confusing
nothing was confusing today
the histogram calculations were very interesting to see, I also found the overflow and underfloor commands convenient
The histograms were confusing at first with so much data to use.
Excel on Mac is different on what is showed(ICA part)
trying to get the under and overflows for the histogram
The histogram and z-score distribution was a bit confusing
The only confusing thing was how to make the chart in the in class assignment into a pdf file
The histogram was a little confusing to follow bc it was fast
Plotting the histograms and formatting the bins was very confusing
Making histogram, z-score and setting the values of bins were difficult
None
histogram
Nothing
In today's class, I was confused with how to make histogram.
Nothing",In this lecture students were confused on how to make historgrams. Setting the bins for the histograms was difficult for students to understand. They also found z-score distribution confusing. Specifically students were confused with z-score. Some students also had difficulties using excel on mac devices.,"How you found the what the bin width should be in a histogram I had an issue with my Mac on excel that was confusing the histogram calculations were very interesting to see, I also found the overflow and underfloor commands convenient The histogram and z-score distribution was a bit confusing Making histogram, z-score and setting the values of bins were difficult","['bin', 'excel', 'bins', 'z-score', 'histograms', 'Histogram', 'Z-score', 'Z point', 'histogram', 'Excel']"
Aasri,ENGR 131-002,1,Describe what you found most confusing in today’s class,"The most unclear part of class today was accessing CATME
At first navigating brightspace was a little hard due to all the folders and assignments, but after a while I got used to it.
Everything was easy to understand.
Even though we have the preclass videos I think it would be helpful to briefly go over the main ideas in the beginning of class.
The lecture was pretty clear.
Everything was pretty good
Everything was pretty clear.
I felt that the class was very clear on the material, it was interesting learning how to use the excel tables and graphs in order to display data trends and create functions. The table creating section proved to be a bit challenging but was still very interesting
i will need to review some of the pre class excel videos to help me fully understand how to do assignment 3. i believe with some review that I will better be abke to tackle this problem.
no
Nothing was confusing. Pretty straightforward
A03 was not discussed in as much detail as I wish it was but working with what was given was not an issue.
Nothing confused me.
The Absolute Cell Functions can be confusing but overall most of the material was clear.
I think most of the content is clear. Maybe the preclass video shall tell us where the graphs are located, but I think it is not difficult to find.
The assignment and requirements
I felt everything was clear enough to be understood without further instruction.",In this lecture students were confused by assignment 3 and its requirements. Students wanted more explanation and details regarding assignment 3. Students were unclear on accessing CATME. Students were also confused on navigating brightspace. Students were also confused by absolute cell functions.,"The most unclear part of class today was accessing CATME At first navigating brightspace was a little hard due to all the folders and assignments, but after a while I got used to it. I felt that the class was very clear on the material, it was interesting learning how to use the excel tables and graphs in order to display data trends and create functions. The table creating section proved to be a bit challenging but was still very interesting i will need to review some of the pre class excel videos to help me fully understand how to do assignment 3. i believe with some review that I will better be abke to tackle this problem. The Absolute Cell Functions can be confusing but overall most of the material was clear.","['CATME', 'excel', 'brightspace', 'Absolute Cell Functions', 'assignment 3', 'assignment', 'A03']"
Aasri,ENGR 131-002,7,Describe what you found most confusing in today’s class,"none
nothing
nothing since it was just ppt
Not much
there was no class so i spent the time studying for my quiz!",In this lecture there was nothing specific students were confused with. The students just went over the powerpoint in this lecture. Students also used their time to study for their quiz.,none nothing nothing since it was just ppt Not much there was no class so i spent the time studying for my quiz!,"['studying', 'nothing', 'quiz', 'Not much', 'class', 'none', 'ppt']"
Aasri,ENGR 131-002,6,Describe what you found most confusing in today’s class,"Nothing
Nothing
Submitting the chart as a pdf and choosing the correct chart
It would be nice to name some more clarification on what to do for the assignment.
no
The quiz instructions
A04 submissions
Nothing
What graphs to use were kind of confusing
formatting a table on excel and making boxes bigger
nothing
I have never used course grade before so I was kind of unsure how to turn in my practice quiz. I got it figured out though.
Although it was part of the quiz deciding which type of graph to use was confusing today.
Nothing was confusing in today's class
Everything we did in class wasn't confusing this time. However, I felt that I have to master how to do every skill that the quiz 1 is going to ask.
Just finding where the practice quiz was
I cannot think of any
The time was not enough for me to complete the practice quiz. I wish it there was little bit more time to do it.
Nothing
In the practice quiz it was a little confusing where to put the graph",In this lecture students were confused on where to find there practice quiz. They were also confused by what type of graphs to use. Students also would want some more clarification on their assignment. Students were confused by A04 submissions. Students were also confused by excel especially formatting a table on excel and making boxes bigger. Students seemed worried about quiz 1.,"I have never used course grade before so I was kind of unsure how to turn in my practice quiz. I got it figured out though. Although it was part of the quiz deciding which type of graph to use was confusing today. Everything we did in class wasn't confusing this time. However, I felt that I have to master how to do every skill that the quiz 1 is going to ask. Just finding where the practice quiz was It would be nice to name some more clarification on what to do for the assignment.","['excel', 'graph', 'practice quiz', 'quiz 1', 'quiz', 'graphs', 'A04', 'assignment']"
Aasri,ENGR 131-002,5,Describe what you found most confusing in today’s class,"Nothing
Nothing
Understanding project 1 and the calculations needed
Some parts of assignment 4 were confusing
The explanation for assignment 4
Some of the project requirements.
Determining what is criteria. Constraint is easy to figure out but criteria not so much.
The solar project - like the requirements for each section
Nothing confused me
Constraint and criterion was a little confusing at the beginning but became clear at the end
Nothing was confusing, everything was either explained early through the speaking component or through the class slides.
nothing in today's class was cdnfusing, it was very simple and clearly conveyee
Some of the differences between criteria and constraints were confusing.
Difference between constraints and criteria
Doing the environmental calculations for Assignment 4 is confusing and it's hard to figure out where to start
Everything was clear
the project itself and what was going on
What was confusing or needed more details was the equation of the payback period.
How to analyze environmental benefits for the solar project
Nothing, in class activity was understandable
The calculation for finding the savings needed for a 3 month payback plan was confusing today.
calculating the period of saving was little bit confused.
Today the only thing that confused me was the planning phase with my teammates. I think we were all a bit confused until we read the document and got to ask questions.
The in class assignment did not have enough information for me to understand how to do it with the amount of time given
no
Nothing was that confusing in class today.
Not much",In this lecture students were confused on the difference between constraint and criteria. Students were also confused by assignment 4 and doing the environmental calculations. Students were also confused on the project. Students also were confused by the equation for payback period.,The solar project - like the requirements for each section Some of the differences between criteria and constraints were confusing. Doing the environmental calculations for Assignment 4 is confusing and it's hard to figure out where to start What was confusing or needed more details was the equation of the payback period. The calculation for finding the savings needed for a 3 month payback plan was confusing today.,"['criteria', 'payback period', 'project', 'constraints', 'Assignment 4', 'assignment 4', 'payback plan', 'Constraint']"
Aasri,ENGR 131-002,9,Describe what you found most interesting in today’s class,"Learning about histograms
Creating the histogram in excel.
Characteristics of normal distribution
getting to read the bike share project memo
Getting to read to memo for project 2
Probability
Histograms
Working with my team
Learning how to make histograms
I found talking with the new team members in todays class interesting.
I enjoyed learning about histograms.
Power of excel
histograms
probability and statistics was pretty interesting, learning about skewness and normal distribution
i liked studio time today. we got a lot done.
I really enjoyed learning how to use histograms and their applications
The data distribution was very interesting.
differentiate data type and diagram use
using the pivot table
The creation of the histogram graph
I enjoyed figuring out how to format the histogram for the in class activity
Tips and trick in excel
I enjoyed starting my hw A06
To be honest, I had difficulty with the making histogram, however, it was interesting how it works
None
z score
The assignment 7
Starting our new project
Histograms","In this lecture students found it interesting to talk with their new team memebers. Students also found it interesting to learn about probability and statistics, esecially about skewness and normal distribution. Students also were interested in starting their new project. They also were interested in learning more tips and tricks in excel. Also they were interested in creating histograms.","I found talking with the new team members in todays class interesting. probability and statistics was pretty interesting, learning about skewness and normal distribution I really enjoyed learning how to use histograms and their applications I enjoyed figuring out how to format the histogram for the in class activity To be honest, I had difficulty with the making histogram, however, it was interesting how it works","['team', 'excel', 'histograms', 'project', 'histogram', 'normal distribution', 'Histograms']"
Aasri,ENGR 131-002,8,Describe what you found most interesting in today’s class,"everything
I liked that we got new groups, and are able to work with and get to know new people. I also found the upcoming project to be very interesting, and I am looking forward to doing more with it.
The bike data is real data.
getting to know new teammates
Meeting my new teammates
Meeting new teammates
Working with new people
Pivot tables
Everyting
The Pivot Tables are actually pretty cool
Pivot tables
Using pivot tables in excel to look at the relationships between different variables.
Pivot Tables
The size of data
The pivot chart
N/A
pivot tables
Team poster
ICA I think
Getting with my new group
getting to know my classmates
Meeting new groups
I really enjoyed meeting my new team.
I enjoyed getting to know the member of my team
New project
I found meeting my new group members interesting
I liked meeting my new group members and defining our group code of conduct.
Seeing my new group was most interesting in today's class.
in class activity was pretty straight forward and it was interesting to get probability straight from excel
Meeting up with new group",In this lecture students found the in class activity interesting to work on. Students also were interested by working with their new groups. Students were interested with working with the data. Students were also interested in working on pivot tables.,"I liked that we got new groups, and are able to work with and get to know new people. I also found the upcoming project to be very interesting, and I am looking forward to doing more with it. Using pivot tables in excel to look at the relationships between different variables. The size of data I liked meeting my new group members and defining our group code of conduct. in class activity was pretty straight forward and it was interesting to get probability straight from excel","['pivot chart', 'pivot tables', 'Pivot tables', 'ICA', 'project', 'data', 'group', 'Pivot Tables', 'groups']"
Aasri,ENGR 131-002,4,Describe what you found most confusing in today’s class,"Nothing
Everything was pretty good.
Will we be working on the project in class at all?
Nothing was confusing.
Nothing this class was confusing
Everything was clear
Nothing confused me
Nothing, the class was great.
There was nothing confusing in class today, the team project was clear.
The ICA was a bit confusing to do
Examples of trade offs
The assignment that required us to come up with a few questions was a little confusing, but the report was their, so I was able to come up with some questions.
In the class assignment it would have been nice to get some examples of questions to ask
no
the due dates for the current project (solar project)
Understanding the process of assignment A05. I feel like it could have been explained in more detail.
Class time structure was different than most classes
I was a little confused about the A03 assignment. I wish we reviewed it in class
Everything in class made sense today. Diversity is important to creating ideas and succeeding as a team.
Only confusing part was how we should fill out the template with our teams.
nothing was confusing in today's class, I feel that the material was very clearly shown.
The only thing I feel was confusing was finding the tables at the beginning of class but that was very minor.
N/A
Not much we just got into groups. But if I need to pick something then finding what questions to ask for the ICA was a bit challenging
nothing
I think it was enough understandable today for me. However, it was not enough for me to fill out ICA form today. I like to attend this class!
The in class activities are quite confusing and difficult.
The in class activity was challenging
Nothing",In this lecture students were confused with the in class activity. They thought they ICA was challenging. Students also were confused with A03 and wanted to review it. Students found the process for assignment 5 confusing. Students found filling out the template with their teams confusing. Students were confused by the examples of trade offs.,"Examples of trade offs The assignment that required us to come up with a few questions was a little confusing, but the report was their, so I was able to come up with some questions. In the class assignment it would have been nice to get some examples of questions to ask Understanding the process of assignment A05. I feel like it could have been explained in more detail. I was a little confused about the A03 assignment. I wish we reviewed it in class","['template', 'class assignment', 'in class activities', 'ICA', 'A05', 'trade offs', 'assignment', 'A03', 'in class activity']"
Aasri,ENGR 131-002,3,Describe what you found most interesting in today’s class,"More excel assignments please
The in class assignment for today was interesting since we had to think about mathematical application in excel
The in class activity was a good way to practice the topics in Excel.
Built in functions will help make life easier for us.
Learning about excel functions
How to effectively use formulas in excel and lock in place cells
using different functions to perform calculations efficiently.
i was excited to work on assignment 03.
I found the in class activity interesting because I tested the skills I learned on the pre class videos
I found it interesting that you can use excel to calculate so many things.
Learning the different functions in excel
new excel functions
excel
I found some of the calculation shortcuts very interesting like mean and mode.
Integration of statistic formulas as functions
I enjoyed learning the various built in functions in excel, and how to use them.
I found the use of the various descriptive statistics in todays class to be quite interesting.
Standard deviation and variance
shift+ctrl+down arrow
I found most interesting tricks and tips for easily performing calculations.
The excel shortcut (ctrl + ') to look at formulas was interesting as I did not know about this before.
The instructor did a good job explaining anything that was confusing when I watched the pre class videos
Descriptive Statistics
Learning about locking cells with different functions.
About how to proceed the data with built in functions in excel.
The process of solving and managing the datas in Excel is very interesting.
The numerous shortcuts and how we are able to use them all in one table/spreadsheet.
New excel shortcuts
I never knew that mode was actually used as a measure of average, that was interesting
The actual excel work
The most interesting part was to use Excel functions to get what we need.
The most interesting thing I found about this class is learning about the different excel operations.
I liked all the short cuts we where taught in class today
being able to do absolute cell referencing
Going through all the central tendencies
I liked doing the in class activity trying to do different calculations with the data.
I found it interesting how professor Purzer asked people to describe what kind of data they would and why
I found the in class activity to be the most interesting. Rather, jt was fun to do all of the functions in excel.
Just the material was interesting really","In this lecture, students found it interesting to work with excel. They thought it was interesting to use functions in excel. Students were interested in working on the in class acitivity/assignment. Students were interested in learning about descriptive statistics like mean, median, and mode. Students were interested in working on assignment 3.","I found the in class activity interesting because I tested the skills I learned on the pre class videos I enjoyed learning the various built in functions in excel, and how to use them. I found the use of the various descriptive statistics in todays class to be quite interesting. The numerous shortcuts and how we are able to use them all in one table/spreadsheet. I liked doing the in class activity trying to do different calculations with the data.","['built in functions', 'excel', 'assignment 03', 'descriptive Statistics', 'Excel', 'Descriptive Statistics', 'in class assignment', 'Built in functions', 'in class activity']"
